eid,true,pred
103.0,8.928572,4.2924976
104.0,106.15079,92.321434
105.0,116.07143,116.57484
106.0,120.03968,92.04674
107.0,61.50794,62.299736
108.0,125.0,107.47499
109.0,35.714287,56.501415
110.0,80.35714,100.36742
111.0,9.920635,24.418741
112.0,50.595238,74.72419
113.0,125.0,121.3566
114.0,78.37302,85.0593
115.0,91.269844,68.17262
116.0,7.936508,16.106546
117.0,125.0,114.180954
118.0,125.0,109.4833
119.0,106.15079,101.09456
120.0,15.873016,13.881752
121.0,67.46032,101.66347
122.0,125.0,97.94339
123.0,125.0,103.58304
124.0,7.936508,15.222756
125.0,125.0,114.883156
126.0,124.007935,118.339485
127.0,82.34127,55.720314
128.0,108.13492,109.62911
129.0,79.36508,86.86946
130.0,121.031746,87.78997
131.0,120.03968,106.06781
132.0,39.68254,63.568993
133.0,38.69048,91.2721
134.0,9.920635,14.2550745
135.0,125.0,128.1172
136.0,87.30159,87.16873
137.0,88.29365,87.469505
138.0,7.936508,14.980851
139.0,51.587303,78.89138
140.0,55.555557,66.44168
141.0,125.0,104.67852
142.0,47.61905,67.00191
143.0,81.34921,80.90106
144.0,43.650795,48.89485
145.0,98.21429,99.77031
146.0,10.912699,3.6515312
147.0,92.2619,92.17025
148.0,11.904762,2.0380409
149.0,125.0,101.32172
150.0,34.722225,33.412964
151.0,115.07937,93.022285
152.0,59.52381,89.336845
153.0,99.20635,86.81759
154.0,103.17461,107.86094
155.0,108.13492,98.88076
156.0,83.333336,99.94797
157.0,125.0,106.75517
158.0,15.873016,35.88576
159.0,9.920635,10.830303
160.0,42.65873,62.799053
161.0,13.888889,23.459011
162.0,41.666668,57.33442
163.0,88.29365,80.62774
164.0,14.880953,-1.988942
165.0,125.0,128.40222
166.0,125.0,100.94813
167.0,96.230156,105.37667
168.0,82.34127,86.52592
169.0,125.0,101.7972
170.0,125.0,97.23738
171.0,36.706352,61.65731
172.0,107.14286,96.74047
173.0,14.880953,8.130793
174.0,95.2381,87.35752
175.0,125.0,116.06398
176.0,23.809525,17.179874
177.0,6.9444447,22.256721
178.0,125.0,104.09644
179.0,35.714287,66.6687
180.0,97.22222,75.40723
181.0,68.45238,72.54996
182.0,14.880953,34.017365
183.0,67.46032,68.70884
184.0,125.0,136.85957
185.0,19.84127,26.54449
186.0,10.912699,-26.36357
187.0,125.0,128.76732
188.0,125.0,90.0523
189.0,43.650795,48.487896
190.0,12.896826,11.148351
191.0,125.0,106.02437
192.0,13.888889,23.328377
193.0,37.698414,48.94784
194.0,122.0238,110.567406
195.0,80.35714,65.597374
196.0,93.25397,121.16798
197.0,125.0,133.22737
198.0,32.7381,69.47295
199.0,103.17461,107.29983
200.0,125.0,83.99605
201.0,111.111115,109.340515
202.0,68.45238,101.50009
203.0,125.0,121.53873
204.0,121.031746,123.16818
205.0,125.0,91.49967
206.0,48.61111,62.944687
207.0,85.31746,87.42386
208.0,8.928572,-2.3339808
209.0,23.809525,37.5114
210.0,8.928572,14.301529
211.0,6.9444447,19.548767
212.0,57.539684,90.00037
213.0,83.333336,76.45577
214.0,125.0,100.0276
215.0,101.190475,109.427414
216.0,81.34921,93.82563
217.0,86.309525,125.8539
218.0,125.0,151.8488
219.0,73.412704,91.83715
220.0,121.031746,105.85504
221.0,125.0,78.44906
222.0,75.39683,67.07391
223.0,125.0,133.30937
224.0,125.0,120.44489
225.0,11.904762,19.559206
226.0,108.13492,97.17437
227.0,14.880953,11.320384
228.0,125.0,93.66835
229.0,61.50794,92.08398
230.0,85.31746,83.172356
231.0,8.928572,-1.2586119
232.0,101.190475,88.821144
233.0,125.0,130.53822
234.0,89.28571,103.87851
235.0,125.0,109.288376
236.0,12.896826,9.4241705
237.0,62.5,61.239555
238.0,125.0,142.01883
239.0,101.190475,107.519714
240.0,121.031746,93.01561
241.0,125.0,128.94072
242.0,17.857143,31.060534
243.0,125.0,105.346085
244.0,125.0,101.785446
245.0,16.86508,4.3235636
246.0,125.0,104.37672
247.0,125.0,130.14381
248.0,56.54762,77.81018
249.0,111.111115,121.52345
250.0,23.809525,27.443958
251.0,84.32539,106.581665
252.0,12.896826,23.153492
253.0,43.650795,53.85752
254.0,48.61111,58.395313
255.0,122.0238,100.41662
256.0,125.0,79.917946
257.0,56.54762,78.02362
258.0,125.0,110.33513
259.0,51.587303,100.99165
